DATE,age,bmr,body_fat,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20140101,29.827397260273973,1681.807283561644,,0,70.0,2,1.79,,,,,,,,1681.807283561644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140102,29.83013698630137,1681.7887767123289,,0,70.0,2,1.79,,,,,,,,1681.7887767123289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140103,29.832876712328765,1681.7702698630137,,0,70.0,2,1.79,,,,,,,,1681.7702698630137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140104,29.835616438356166,1681.7517630136988,,0,70.0,2,1.79,,,,,,,,1681.7517630136988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140105,29.838356164383562,1681.7332561643836,,0,70.0,2,1.79,,,,,,,,1681.7332561643836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140106,29.84109589041096,1681.7147493150685,,0,70.0,2,1.79,,,,,,,,1681.7147493150685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140107,29.843835616438355,1681.6962424657536,,0,70.0,2,1.79,,,,,,,,1681.6962424657536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140108,29.846575342465755,1681.6777356164384,,0,70.0,2,1.79,,,,,,,,1681.6777356164384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140109,29.84931506849315,1681.6592287671233,,0,70.0,2,1.79,,,,,,,,1681.6592287671233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140110,29.852054794520548,1681.6407219178084,,0,70.0,2,1.79,,,,,,,,1681.6407219178084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140111,29.854794520547944,1681.6222150684932,,0,70.0,2,1.79,,,,,,,,1681.6222150684932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140112,29.85753424657534,1681.603708219178,,0,70.0,2,1.79,,,,,,,,1681.603708219178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140113,29.86027397260274,1681.5852013698632,,0,70.0,2,1.79,,,,,,,,1681.5852013698632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20140114,29.863013698630137,1681.566694520548,,0,70.0,2,1.79,,,,,,,,1681.566694520548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
