DATE,age,bmr,body_fat,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20150101,30.827397260273973,1675.052283561644,,0,70.0,2,1.79,1556.0,108.283547699,2356.0,0.0,1407.0,0.0,2939.0,1783.3358312606438,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150102,30.83013698630137,1675.0337767123287,,0,70.0,2,1.79,3153.0,221.333282173,4745.0,17640.0,903.0,5580.0,5930.0,1896.3670588853288,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150103,30.832876712328765,1675.0152698630138,,0,70.0,2,1.79,,,,,,,,1675.0152698630138,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150104,30.835616438356166,1674.9967630136987,,0,70.0,2,1.79,3318.0,249.296108801,5277.0,26220.0,695.0,7380.0,6463.0,1924.2928718146986,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150105,30.838356164383562,1674.9782561643838,,0,70.0,2,1.79,4016.0,301.981205061,6261.0,24060.0,956.0,7500.0,7732.0,1976.9594612253838,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150106,30.84109589041096,1674.9597493150686,,0,70.0,2,1.79,3500.0,260.173149206,5567.0,24960.0,740.0,4200.0,6825.0,1935.1328985210687,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150107,30.843835616438355,1674.9412424657535,,0,70.0,2,1.79,5714.0,427.955403332,9072.0,23460.0,1127.0,4500.0,11134.0,2102.8966457977535,0.0,0.0,,,,,,,,,,,,,4139.0,7178.0,30900.0,3.0,-679.0,0.0,1.0,10860.0,24581.0,13721.0,68.0,0.0,67.0
20150108,30.846575342465755,1674.9227356164383,,0,70.0,2,1.79,3983.0,301.962099552,6451.0,24300.0,807.0,3720.0,7819.0,1976.8848351684383,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150109,30.84931506849315,1674.9042287671234,,0,70.0,2,1.79,5166.0,376.322696596,8018.0,24240.0,1121.0,4260.0,9930.0,2051.2269253631234,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,67.0
20150110,30.852054794520548,1674.8857219178083,,0,70.0,2,1.79,5210.0,574.009549871,10361.0,22440.0,1654.0,10080.0,11124.0,2248.8952717888083,0.0,0.0,,,,,,,,,,,,,10259.0,5145.0,42000.0,1.0,6461.0,0.0,1.0,16524.0,30934.0,14410.0,95.0,0.0,67.0
20150111,30.854794520547944,1674.8672150684931,,0,70.0,2,1.79,,,,,,,,1674.8672150684931,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
